Name,POS,"Ht("")",Wt (lbs),40yd,40Z,BP,BPZ,"Vertical ("")",VZ,"Broad Jump("")",BJZ,Shuttle,SZ,3Cone,3CZ,TotZ,AvgZ,Rd,Pick,Rank,,GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Gallik,C,74.38,306,5.5,-2.302279338,29,1.340077728,27,-1.565906077,96,-2.012936865,4.58,-0.837791672,7.66,-0.976875243,-6.355711467,-1.059285245,6,208,201,,11,505,0,5,510,46.36363636,,,,,,0,,,,,,,0,,
Austin Barron,C,75,293,5.17,-1.199147348,,,,,,,,,,,-1.199147348,-1.199147348,,,,,,,,,0,,,,,,,0,,,,,,,0,,
B.J. Finney,C,75.75,318,5.25,-1.466573285,20,-0.132182054,24,-2.277723697,99,-1.697190156,4.76,-1.545485181,,,-7.119154372,-1.423830874,,,,,,,,,0,,,13,299,0,35,334,25.69230769,,14,235,0,63,298,21.28571429,
Betim Bujari,C,75,298,5.27,-1.533429769,,,,,,,,,,,-1.533429769,-1.533429769,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Brandon Vitabile,C,74,304,5.2,-1.299432075,,,,,,,,,,,-1.299432075,-1.299432075,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Cameron Erving,C,77.5,313,5.15,-1.132290864,30,1.503662149,30.5,-0.735452188,112,-0.328954415,4.63,-1.034373202,7.48,-0.521494864,-2.248903385,-0.374817231,1,19,19,,16,424,0,48,472,29.5,,13,700,0,28,728,56,,13,276,0,41,317,24.38461538,
Chris Jasperse,C,75,297,5.38,-1.901140433,,,,,,,,,,,-1.901140433,-1.901140433,,,,,,,,,0,,,,,,,0,,,,,,,0,,
David Andrews,C,75,294,5.12,-1.032006138,,,,,,,,,,,-1.032006138,-1.032006138,,,,,14,763,0,9,772,55.14285714,,16,1114,0,1,1115,69.6875,,14,990,0,0,990,70.71428571,
David Peterson,C,75,295,5.32,-1.70057098,,,,,,,,,,,-1.70057098,-1.70057098,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Dillon Day,C,76,305,5.26,-1.500001527,,,,,,,,,,,-1.500001527,-1.500001527,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Elliott Porter,C,76,298,5.16,-1.165719106,,,,,,,,,,,-1.165719106,-1.165719106,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Greg Mancz,C,76,301,5.08,-0.898293169,,,,,,,,,,,-0.898293169,-0.898293169,,,,,3,1,0,11,12,4,,16,1120,0,0,1120,70,,10,560,0,28,588,58.8,
Hroniss Grasu,C,75,297,5.12,-1.032006138,,,,,,,,,,,-1.032006138,-1.032006138,3,71,70,,8,551,0,0,551,68.875,,,,,,0,,,6,259,0,3,262,43.66666667,
Jake Smith,C,75,309,5.32,-1.70057098,,,,,,,,,,,-1.70057098,-1.70057098,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Joe Townsend,C,75,308,5.28,-1.566858011,,,,,,,,,,,-1.566858011,-1.566858011,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Max Garcia,C,76.13,309,5.24,-1.433145043,,,,,,,,,,,-1.433145043,-1.433145043,4,133,130,,15,542,0,73,615,41,,16,1075,0,69,1144,71.5,,16,869,0,60,929,58.0625,
Nick Easton,C,74,307,5.15,-1.132290864,,,,,,,,,,,-1.132290864,-1.132290864,,,,,,,,,0,,,11,414,0,23,437,39.72727273,,12,748,0,52,800,66.66666667,
Reese Dismukes,C,74.75,296,5.31,-1.667142738,23,0.358571207,27.5,-1.447269808,107,-0.855198931,4.7,-1.309587344,8.14,-2.191222921,-7.111850535,-1.185308422,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Robert Waterman,C,74,290,5.23,-1.399716801,,,,,,,,,,,-1.399716801,-1.399716801,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Shane McDermott,C,76,302,5.21,-1.332860317,,,,,,,,,,,-1.332860317,-1.332860317,,,,,,,,,0,,,2,3,0,9,12,6,,,,,,0,,
Shaquille Mason,C,74,310,5.27,-1.533429769,,,,,,,,,,,-1.533429769,-1.533429769,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Steven Gurrola,C,74,291,5.27,-1.533429769,,,,,,,,,,,-1.533429769,-1.533429769,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Tom Farniok,C,75,300,5.27,-1.533429769,,,,,,,,,,,-1.533429769,-1.533429769,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Valerian Ume-Ezeoke,C,74,305,5.45,-2.135138127,,,,,,,,,,,-2.135138127,-2.135138127,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Alex Carter,CB,72.13,196,4.51,1.007116631,17,-0.622935315,40,1.518636939,121,0.618285713,4.07,1.167339937,7.05,0.566358264,4.25480217,0.709133695,3,80,79,,,,,,0,,,1,0,0,4,4,4,,,,,,0,,
Al-Hajj Shabazz,CB,71,202,4.57,0.806547179,,,,,,,,,,,0.806547179,0.806547179,,,,,,,,,0,,,8,0,6,85,91,11.375,,,,,,0,,
Artez Brown,CB,73,182,4.52,0.973688389,,,,,,,,,,,0.973688389,0.973688389,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Bernard Blake,CB,71,177,4.52,0.973688389,,,,,,,,,,,0.973688389,0.973688389,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Blair Burns,CB,70,186,4.55,0.873403663,,,,,,,,,,,0.873403663,0.873403663,,,,,,,,,0,,,,,,,0,,,,,,,0,,
