Player,Pos,GP,O/DSnaps17,STSnaps17,,
Amara Darboh,WR,16,191,159,,
Amba Etta-Tawo,WR,0,0,0,,
ArDarius Stewart,WR,15,231,132,,
Artavis Scott,WR,0,0,0,,
Bug Howard,WR,0,0,0,,
Carlos Henderson,WR,0,0,0,,
Chad Hansen,WR,15,342,34,,
Chris Godwin,WR,16,449,194,,
Cooper Kupp,WR,15,740,6,,
Corey Davis,WR,11,518,,,
Curtis Samuel,WR,9,226,121,,
Darreus Rogers,WR,0,0,0,,
Dede Westbrook,WR,7,386,2,,
Drew Morgan,WR,0,0,0,,
Fred Ross,WR,0,0,0,,
Gabe Marks,WR,0,0,0,,
Greg Ward Jr.,WR,0,0,0,,
Isaiah Ford,WR,0,0,0,,
Isaiah McKenzie,WR,11,131,72,,
Jalen Robinette,WR,0,0,0,,
Jamari Staples,WR,0,0,0,,
James Quick,WR,0,0,0,,
Jehu Chesson,WR,12,85,215,,
Jerome Lane,WR,0,0,0,,
Jesus Wilson,WR,0,0,0,,
John Ross,WR,3,17,,,
Josh Malone,WR,11,249,23,,
Josh Reynolds,WR,16,280,98,,
JuJu Smith-Schuster,WR,14,707,51,,
K.D. Cannon,WR,0,0,0,,
Keevan Lucas,WR,0,0,0,,
Kendrick Bourne,WR,11,283,34,,
Kenny Golladay,WR,11,477,1,,
Keon Hatcher,WR,0,0,0,,
Kermit Whitfield,WR,0,0,0,,
Mack Hollins,WR,16,287,232,,
Malachi Dupre,WR,0,0,0,,
Michael Rector,WR,0,0,0,,
Mike Williams,WR,10,234,,,
Noah Brown,WR,13,158,119,,
Noel Thomas,WR,0,0,0,,
Quincy Adeboyejo,WR,1,21,17,,
Ricky Seals-Jones,WR,10,132,165,,
Robert Davis,WR,1,3,,,
Rodney Adams,WR,0,0,0,,
Ryan Switzer,WR,16,91,135,,
Shelton Gibson,WR,5,17,44,,
Speedy Noil,WR,0,0,0,,
Stacy Coley,WR,4,20,27,,
Taywan Taylor,WR,16,247,101,,
Travin Dural,WR,0,0,0,,
Travis Rudolph,WR,7,253,,,
Trent Taylor,WR,15,491,72,,
Victor Bolden Jr.,WR,9,27,122,,
Zach Pascal,WR,0,0,0,,
Zay Jones,WR,15,793,4,,
Adam Shaheen,TE,13,239,149,,
Billy Brown,TE,0,0,0,,
Bucky Hodges,TE,0,0,0,,
Cethan Carter,TE,16,49,284,,
Cole Hikutini,TE,4,32,38,,
Darrell Daniels,TE,12,196,168,,
David Njoku,TE,16,501,167,,
Eric Saubert,TE,14,30,212,,
Evan Engram,TE,15,777,115,,
George Kittle,TE,15,591,6,,
Gerald Everett,TE,16,299,41,,
Hayden Plinke,TE,0,0,0,,
Jake Butt,TE,0,0,0,,
Jeremy Sprinkle,TE,11,126,125,,
Jonnu Smith,TE,16,556,100,,
Jordan Leggett,TE,0,0,0,,
Michael Roberts,TE,15,221,148,,
O.J. Howard,TE,14,608,47,,
Pharaoh Brown,TE,2,39,13,,
Scott Orndoff,TE,0,0,0,,
Austin Rehkow,ST,0,0,0,,
Bradley Northnagel,ST,0,0,0,,
Cameron Johnston,ST,0,0,0,,
Colin Holba,ST,7,0,76,,
Conrad Ukropina,ST,0,0,0,,
Harrison Butker,ST,13,0,149,,
Hayden Hunt,ST,0,0,0,,
Jake Elliott,ST,15,0,159,,
Justin Vogel,ST,16,0,129,,
Toby Baker,ST,0,0,0,,
Zane Gonzalez,ST,16,0,103,,
Aaron Jones,RB,12,236,32,,
Alvin Kamara,RB,16,464,44,,
Brian Hill,RB,7,19,124,,
Chris Carson,RB,4,152,4,,
Christian McCaffrey,RB,16,757,48,,
Corey Clement,RB,16,256,291,,
Dalvin Cook,RB,4,169,,,
Dare Ogunbowale,RB,2,1,10,,
DeAngelo Henderson,RB,5,20,63,,
De'Veon Smith,RB,5,6,65,,
Devine Redding,RB,0,0,0,,
Donnel Pumphrey,RB,0,0,0,,
D'Onta Foreman,RB,10,147,5,,
Elijah Hood,RB,1,0,8,,
Elijah McGuire,RB,16,268,95,,
Freddie Stevenson,RB,0,0,0,,
Jahad Thomas,RB,0,0,0,,
Jamaal Williams,RB,16,443,61,,
James Conner,RB,14,68,69,,
Jeremy McNichols,RB,2,0,26,,
Joe Williams,RB,0,0,0,,
Justin Davis,RB,4,6,34,,
Kareem Hunt,RB,16,670,0,,
Leonard Fournette,RB,13,564,0,,
Marlon Mack,RB,14,310,25,,
Matthew Dayes,RB,16,42,286,,
Rushel Shell III,RB,0,0,0,,
Sam Rogers,RB,0,0,0,,
Samaje Perine,RB,16,360,80,,
Stanley Williams,RB,0,0,0,,
T.J. Logan,RB,0,0,0,,
Tarik Cohen,RB,16,360,124,,
Wayne Gallman,RB,13,325,174,,
Brad Kaaya,QB,0,0,0,,
C.J. Beathard,QB,7,390,0,,
Cooper Rush,QB,2,15,0,,
Davis Webb,QB,0,0,0,,
Deshaun Watson,QB,7,464,0,,
DeShone Kizer,QB,15,887,0,,
Jerod Evans,QB,0,0,0,,
Joshua Dobbs,QB,0,0,0,,
Mitch Leidner,QB,0,0,0,,
Mitchell Trubisky,QB,12,726,0,,
Nathan Peterman,QB,4,97,0,,
Patrick Mahomes,QB,1,63,0,,
Sefo Liufau,QB,0,0,0,,
Seth Russell,QB,0,0,0,,
Trevor Knight,QB,0,0,0,,
Adam Bisnowaty,OL,1,78,2,,
Antonio Garcia,OL,0,0,0,,
Avery Gennesy,OL,0,0,0,,
Aviante Collins,OL,3,28,3,,
Ben Braden,OL,0,0,0,,
Cam Robinson,OL,15,893,27,,
Cameron Lee,OL,2,21,5,,
Chad Wheeler,OL,11,261,33,,
Chase Roullier,OL,13,461,74,,
Collin Buchanan,OL,0,0,0,,
Conor McDermott,OL,3,1,15,,
Corey Levin,OL,0,0,0,,
Damien Mama,OL,0,0,0,,
Dan Feeney,OL,15,666,68,,
Dan Skipper,OL,1,10,5,,
Daniel Brunskill,OL,0,0,0,,
Danny Isidora,OL,7,147,35,,
David Sharpe,OL,5,126,13,,
Dion Dawkins,OL,16,784,62,,
